SampleID,Actual log1p PCN,Predicted log1p PCN,Actual_PCN,Predicted_PCN
1501,0.594825499,0.667225805,0.812714597,0.948823398
318,0.363975673,0.820435948,0.439039206,1.271489873
1512,0.59612073,0.703566281,0.815064002,1.020947137
4387,0.900404258,0.925244954,1.460597626,1.522486078
5079,0.986504447,0.775811806,1.681843542,1.172354942
1010,0.517855277,0.83509456,0.678424032,1.305032002
10517,3.836253387,3.515533958,45.35148763,32.63388221
7754,1.711359081,1.191619836,4.536480893,2.292410055
321,0.364611343,1.006882438,0.439954251,1.737054762
5500,1.050723986,0.9032458,1.859720767,1.467599461
518,0.415825263,0.742812067,0.515621011,1.10183772
1453,0.58811307,0.862605154,0.800587625,1.369325117
11050,7.793114262,1.468791815,2422.854358,3.343983633
4474,0.90939612,1.957264486,1.482822754,6.079933295
2140,0.669323008,0.674986068,0.952914765,0.964005613
9071,2.588927613,3.538870707,12.31548459,33.42801791
2391,0.694905908,0.739267838,1.00352055,1.094401512
9961,3.241847071,2.725833592,24.58092793,14.26913685
8520,2.207600631,2.013924103,8.093870644,6.492661711
2678,0.719807111,0.810759884,1.054036971,1.249616785
1710,0.621069207,0.908993577,0.860916684,1.481823512
3909,0.845581248,1.668662991,1.32933134,4.305070127
4326,0.893130694,0.724723552,1.442765243,1.064160388
6884,1.331870332,1.202079407,2.788121811,2.32702798
218,0.321956176,0.918159094,0.379824305,1.504675272
6106,1.152197152,0.904549905,2.165139568,1.470819569
3991,0.855933335,0.800602629,1.353570025,1.226882508
4682,0.931463043,0.834741503,1.538219987,1.304218338
2791,0.729259479,1.337613971,1.073544536,2.809942019
8170,1.986466624,1.588442469,6.289730843,3.896117132
7067,1.392667485,0.953529811,3.025573902,1.594852853
9134,2.627733673,2.291340094,12.84236301,8.888179897
932,0.505600771,1.533042577,0.657981288,3.632249378
4077,0.863347417,0.764307708,1.371084433,1.147507158
5302,1.019318672,0.953123097,1.771305952,1.593797705
1408,0.581498098,0.804099262,0.788716097,1.234682728
7811,1.742685147,1.642149665,4.712662185,4.166263319
2899,0.740065026,1.122264547,1.096071809,2.071802574
9726,3.027887719,3.027623557,19.65356036,19.64810519
3921,0.846397691,0.685360767,1.331233883,0.984487644
10313,3.563657578,3.68637383,34.29204477,38.89990049
5623,1.066493667,1.190384473,1.905175109,2.288345244
9667,2.988647096,2.438957941,18.85879726,10.46109138
8066,1.915899319,1.192487194,5.793045165,2.295266992
6181,1.164812447,1.786830906,2.205321659,4.970501373
5396,1.034556565,0.631598326,1.813858196,0.880614013
8988,2.538474255,2.316030466,11.66033978,9.135361685
4850,0.954570907,0.674069645,1.597555751,0.962206578
6743,1.292653438,0.89091981,2.64243873,1.437370538
3813,0.834287429,0.812409584,1.30317229,1.253331041
6264,1.177936172,1.220106988,2.24766466,2.387550141
4885,0.95827531,1.169883128,1.607195989,2.2216161
3316,0.78421972,0.814742426,1.190696917,1.258593842
7251,1.459163973,1.498148478,3.302361134,3.473398802
8090,1.93337882,1.484105014,5.912828028,3.411015848
562,0.428461413,0.710091605,0.534894138,1.034177591
2818,0.73224625,1.064928139,1.079746996,1.900630534
10378,3.65131863,3.321571076,37.52543336,26.70384123
10360,3.62877021,2.741634805,36.66646628,14.512324
4397,0.9012201,0.996523075,1.462605904,1.708846978
10038,3.303388,3.207527167,26.20465232,23.71788738
1041,0.523570803,0.618088995,0.688044575,0.855379013
3279,0.781129063,0.733117576,1.183936676,1.081559924
9614,2.950387167,2.392426256,18.11335236,9.940005022
1433,0.585391006,0.861516411,0.795692975,1.366746935
2517,0.704353468,0.684305533,1.022538626,0.98239465
3543,0.807806679,0.886344362,1.242983006,1.42624395
4710,0.935402455,0.815265698,1.548238803,1.259776011
7910,1.80220171,2.09377771,5.062981707,7.115515392
6333,1.190842726,0.901463684,2.289852484,1.463205829
4401,0.901572164,0.961666202,1.463473052,1.616051715
7234,1.454814159,1.120481639,3.283687307,2.066330712
11020,5.559112503,4.335828577,258.5923466,75.3882262
2145,0.67017569,1.078675067,0.954580691,1.940780631
10154,3.389345345,3.320889697,28.64653766,26.68497084
7465,1.564144477,2.506695129,3.778584997,11.26433098
3872,0.840587666,0.754888341,1.317728627,1.12737397
6753,1.294597504,1.086999944,2.649526759,1.965364455
9330,2.760364519,1.995441603,14.80560334,6.3554505
3870,0.840527501,1.178248601,1.317589185,2.248679483
101,0.253884049,0.469626556,0.289022332,0.599396797
8745,2.372269192,2.917821238,9.721694284,17.50093438
1783,0.631403501,0.787921109,0.880247658,1.198820563
4828,0.951521499,0.902623296,1.589646808,1.466063849
5245,1.011687878,1.008899656,1.750239168,1.742581571
9735,3.034368864,2.530696969,19.7878538,11.56225859
10766,4.300192472,3.680114599,72.71398021,38.65093777
251,0.337416714,0.516127585,0.401322893,0.675526736
4608,0.923128557,1.469863909,1.517153141,3.34864329
5727,1.082987215,0.902718302,1.953489093,1.466298151
8104,1.942228382,2.950734065,5.974275016,18.11998389
